ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,DAYS_SINCE_LASTORDER,STATUS,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,CITY,POSTALCODE,COUNTRY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE
10264,20,32.59,4,651.8,30-06-2019,2476,Shipped,Engine,40,S32_2206,Gifts4AllAges.com,6175559555,8616 Spinnaker Dr.,Boston,51003,USA,Yoshido,Juri,Small
10375,21,34.91,12,733.11,03-02-2020,139,Shipped,Engine,95,S10_1678,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",Nantes,44000,France,Labrune,Janine,Small
10285,20,49.06,10,981.2,27-08-2019,1065,Shipped,Engine,60,S18_2625,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,Cambridge,51247,USA,Hernandez,Marta,Small
10276,27,36.61,10,988.47,02-08-2019,2444,Shipped,Engine,40,S32_2206,Online Mini Collectables,6175557555,7635 Spinnaker Dr.,Brickhaven,58339,USA,Barajas,Miguel,Small
10299,24,42.24,4,1013.76,30-09-2019,2387,Shipped,Engine,40,S32_2206,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,Helsinki,21240,Finland,Karttunen,Matti,Small
10169,26,39.83,9,1035.58,04-11-2018,2707,Shipped,Engine,40,S32_2206,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,North Sydney,2060,Australia,O'Hara,Anna,Small
10237,26,40.23,2,1045.98,05-04-2019,2560,Shipped,Engine,40,S32_2206,Vitachrome Inc.,2125551500,2678 Kingston Rd.,NYC,10022,USA,Frick,Michael,Small
10180,21,50.36,3,1057.56,11-11-2018,1717,Shipped,Engine,62,S18_3782,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",Lille,59000,France,Rance,Martine,Small
10319,29,38.22,5,1108.38,03-11-2019,2355,Shipped,Engine,40,S32_2206,Microscale Inc.,2125551957,5290 North Pendale Street,NYC,10022,USA,Kuo,Kee,Small
10145,31,35.8,1,1109.8,25-08-2018,2777,Shipped,Engine,40,S32_2206,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,Pasadena,90003,USA,Young,Julie,Small
10362,23,49.67,3,1142.41,05-01-2020,940,Shipped,Engine,60,S18_2625,Technics Stores Inc.,6505556809,9408 Furth Circle,Burlingame,94217,USA,Hirano,Juri,Small
10374,22,53.3,4,1172.6,02-02-2020,913,Shipped,Engine,60,S18_2625,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,South Brisbane,4101,Australia,Calaghan,Tony,Small
10108,27,43.45,13,1173.15,03-03-2018,2949,Shipped,Engine,40,S32_2206,Cruz & Sons Co.,+63 2 555 3587,15 McCallum Street - NatWest Center #13-03,Makati City,1227 MM,Philippines,Cruz,Arnold,Small
10403,30,40.23,2,1206.9,08-04-2020,2205,Shipped,Engine,40,S32_2206,"UK Collectables, Ltd.",(171) 555-2282,Berkeley Gardens 12  Brewery,Liverpool,WX1 6LT,UK,Devon,Elizabeth,Small
10236,23,55.72,2,1281.56,03-04-2019,1207,Shipped,Engine,60,S18_2625,Motor Mint Distributors Inc.,2155559857,11328 Douglas Av.,Philadelphia,71270,USA,Hernandez,Rosa,Small
10135,33,40.23,14,1327.59,02-07-2018,2830,Shipped,Engine,40,S32_2206,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,97562,USA,Nelson,Valarie,Small
